LLM+KG	LLM+KG: Data Management Opportunities in Unifying Large Language Models + Knowledge Graphs	1	Arijit Khan, Tianxing Wu, Xi Chen	LLM+KG-1.pdf	LLM+KG-1-Copyright.pdf	
LLM+KG	OneEdit: A Neural-Symbolic Collaboratively Knowledge Editing System	2	Ningyu Zhang, Zekun Xi, Yujie Luo, Peng Wang, Bozhong Tian, Yunzhi Yao, Jintian Zhang, Shumin Deng, mengshu sun, Lei Liang, Zhiqiang Zhang, Xiaowei Zhu, Jun Zhou, Huajun Chen	LLM+KG-2.pdf	LLM+KG-2-Copyright.pdf	
LLM+KG	Knowledge Graph Efficient Construction: Embedding Chain-of-Thought into LLMs	4	Jixuan Nie, Xia HOU, wenfeng song, xuan wang, Xingliang Jin, Xinyu Zhang, ShuoZhe Zhang, Jiaqi Shi	LLM+KG-4.pdf	LLM+KG-4-Copyright.pdf	
LLM+KG	Benchmarking and Analyzing In-context Learning, Fine-tuning and Supervised Learning for Biomedical Knowledge Curation: a focused study on chemical entities of biological interest	5	Yusuf Abdulle, Emily Groves, Minhong Wang, Holger Kunz, Jason Hoelscher-Obermaier, Ronin Wu, Honghan Wu	LLM+KG-5.pdf	LLM+KG-5-Copyright.pdf	
LLM+KG	Leveraging LLMs Few-shot Learning to Improve Instruction-driven Knowledge Graph Construction	8	Yongli Mou, Li Liu, Sulayman Sowe, Diego Collarana, Stefan Decker	LLM+KG-8.pdf	LLM+KG-8-Copyright.pdf	
LLM+KG	Research Trends for the Interplay between Large Language Models and Knowledge Graphs	9	Hanieh Khorashadizadeh	LLM+KG-9.pdf	LLM+KG-9-Copyright.pdf	
LLM+KG	Enhancing Large Language Models with Multimodality and Knowledge Graphs for Hallucination-free Open-set Object Recognition	11	Xinfu Liu, Wu Yirui, Yuting Zhou, Junyang Chen, huan wang, Ye Liu, Shaohua Wan	LLM+KG-11.pdf	LLM+KG-11-Copyright.pdf	
LLM+KG	SPIREX: Improving LLM-based relation extraction from RNA-focused scientific literature using graph machine learning	12	Emanuele Cavalleri, Mauricio Soto-Gomez, Ali Pashaeibarough, Dario Malchiodi, Harry Caufield, Justin Reese, Chris Mungall, Peter Robinson, Elena Casiraghi, Giorgio Valentini, Marco Mesiti	LLM+KG-12.pdf	LLM+KG-12-Copyright.pdf	
LLM+KG	InfuserKI: Enhancing Large Language Models with Knowledge Graphs via Infuser-Guided Knowledge Integration	13	Fali Wang, Runxue Bao, Suhang Wang, Wenchao Yu, Yanchi Liu, Wei Cheng, Haifeng Chen	LLM+KG-13.pdf	LLM+KG-13-Copyright.pdf	
LLM+KG	From Instructions to ODRL Usage Policies: An Ontology Guided Approach	15	Daham M. Mustafa, Abhishek Nadgeri, Diego Collarana, Benedikt T. Arnold, Christoph Quix, Christoph Lange, Stefan Decker	LLM+KG-15.pdf	LLM+KG-15-Copyright.pdf	
QDB	13th International Workshop on Quality in Databases: Preface	0	Sourav S Bhowmick, Lisa Ehrlinger, Hazar Harmouch	QDB-0.pdf		
QDB	Accelerating the Data Cleaning Systems Raha and Baran through Task and Data Parallelism	1	Fatemeh Ahmadi, Yusuf Mandirali, Ziawasch Abedjan	QDB-1.pdf	QDB-1-Copyright.pdf	
QDB	Towards Semi-Supervised Data Quality Detection In Graphs	2	Rubab Zahra Sarfraz	QDB-2.pdf	QDB-2-Copyright.pdf	
QDB	Valuation-based Data Acquisition for Machine Learning Fairness	3	Ekta Pradhan, Romila Pradhan	QDB-3.pdf	QDB-3-Copyright.pdf	
QDB	AutoFAIR : Automatic Data FAIRification via Machine Reading	4	Tingyan Ma, Wei Liu, Bin Lu, Xiaoying Gan, Yunqiang Zhu, Luoyi Fu, Chenghu Zhou	QDB-4.pdf	QDB-4-Copyright.pdf	
QDB	Compute Engine Testing with Privacy-Compliant Production-Like Synthetic Data	5	Yu Liu, Jiangnan Cheng, Steve Chuck, Lyublena Antova, Yurgis  Baykshtis,  Matt  David, Ge Gao, Mehrdad  Honarkhah, Kuan-Sung  Huang, Chen-Kuei Lee, Usman  Muhammad, Shihao  Peng, Andrii  Rosa, Rebecca Schlussel, Michael Shang, Kelvin  Silva, Brandon Vo, Zac Wen, Yihao Zhou	QDB-5.pdf	QDB-5-Copyright.pdf	
QDB	Process Model-based Access Control Policies for Cross-Organizational Data Sharing	6	Liam Tirpitz, Leon Gentges	QDB-6.pdf	QDB-6-Copyright.pdf	
QDB	Tracking Consistency over Data Streams with InkStream [Demo]	7	Samuele Langhi, Angela Bonifati, Riccardo Tommasini	QDB-7.pdf	QDB-7-Copyright.pdf	
QDB	A Data Generator to Explore the Interactions Between Concept Drifts and Anomalies [Demo]	8	Jongjun Park, Akanksha Nehete, Tammy Zeng, Fei Chiang	QDB-8.pdf	QDB-8-Copyright.pdf	
QDSM	Workshop Summary of the Second International Workshop on Quantum Data Science and Management (QDSM)	1	Valter Uotila, Sven Groppe, Le Guenwald, Jiaheng Lu, Wolfgang Mauerer	QDSM.1.pdf	QDSM.1.Copyright.pdf	
QDSM	Quantum Storage Design for Tables in RDBMS	4	Tuodu Li, Gongsheng Yuan, Chang Yao, Meng Shi, Ziyue Wang, Ling Qian and Jiaheng Lu	QDSM.4.pdf	QDSM.4.Copyright.pdf	
QDSM	Supervised Learning on Relational Databases with Quantum Graph Neural Networks	5	Martin Vogrin, Rok Vogrin, Sven Groppe and Jinghua Groppe	QDSM.5.pdf	QDSM.5.Copyright.pdf	
QDSM	Quantum Data Structures for Enhanced Database Performance	6	Tim Littau, Ziyu Li and Rihan Hai	QDSM.6.pdf	QDSM.6.Copyright.pdf	
QDSM	Graphs on Qubits: Demonstrating Three Graph Algorithms on Quantum Computers	7	Lauri Vuorenkoski and Valter Uotila	QDSM.7.pdf	QDSM.7.Copyright.pdf	
